Student_ID,Scenario,Arrival_Rate_students_per_hour,Interarrival_Time_min,Arrival_Time_min,Arrival_Time,Service_Time_min
S089,Normal,10,2.97,515.72,16:35:43,0.34
S090,Normal,10,16.55,532.27,16:52:16,4.16
S091,Normal,10,1.27,533.55,16:53:32,16.18
S092,Normal,10,8.02,541.56,17:01:33,0.7
S093,Normal,10,3.66,545.22,17:05:13,2.41
S094,Normal,10,3.31,548.53,17:08:31,2.61
S095,Normal,10,39.99,588.52,17:48:31,4.19
S096,Normal,10,0.46,588.99,17:48:59,1.24
S097,Normal,10,1.97,590.96,17:50:57,3.19
S098,Normal,10,0.49,591.45,17:51:26,2.61
S099,Normal,10,8.04,599.48,17:59:29,11.98
S100,Normal,10,8.67,608.15,18:08:09,0.37
S101,High,20,0.0,0.0,08:00:00,3.25
S102,High,20,10.28,10.28,08:10:16,13.53
S103,High,20,1.86,12.14,08:12:08,14.35
S104,High,20,1.0,13.14,08:13:08,2.96
S105,High,20,8.05,21.19,08:21:11,4.17
S106,High,20,0.16,21.35,08:21:20,0.92
S107,High,20,2.15,23.5,08:23:30,0.26
S108,High,20,0.05,23.55,08:23:33,5.76
S109,High,20,4.38,27.93,08:27:55,1.31
S110,High,20,0.11,28.04,08:28:02,4.94
S111,High,20,2.35,30.39,08:30:23,3.51
S112,High,20,0.78,31.16,08:31:09,0.57
S113,High,20,0.89,32.05,08:32:03,1.51
S114,High,20,0.41,32.47,08:32:28,4.28
S115,High,20,1.42,33.89,08:33:53,5.06
S116,High,20,0.18,34.07,08:34:04,0.69
S117,High,20,2.44,36.51,08:36:30,8.13
S118,High,20,6.42,42.93,08:42:55,0.82
S119,High,20,2.63,45.56,08:45:33,4.66
S120,High,20,1.06,46.62,08:46:37,2.1
S121,High,20,2.8,49.42,08:49:25,0.12
S122,High,20,2.75,52.18,08:52:10,2.03
S123,High,20,0.13,52.31,08:52:18,4.86
S124,High,20,0.66,52.97,08:52:57,0.48
S125,High,20,7.8,60.76,09:00:45,6.8
S126,High,20,2.04,62.8,09:02:48,3.22
S127,High,20,1.42,64.22,09:04:12,9.15
S128,High,20,2.79,67.01,09:07:00,2.16
S129,High,20,3.13,70.13,09:10:07,6.29
S130,High,20,2.98,73.12,09:13:07,1.05
S131,High,20,5.61,78.73,09:18:43,5.19
S132,High,20,1.99,80.71,09:20:42,2.21
S133,High,20,3.52,84.23,09:24:14,0.33
S134,High,20,1.84,86.07,09:26:04,2.28
S135,High,20,2.91,88.98,09:28:58,1.01
S136,High,20,0.51,89.49,09:29:29,1.45
S137,High,20,1.47,90.96,09:30:57,2.75
S138,High,20,3.12,94.09,09:34:05,11.29
S139,High,20,3.58,97.67,09:37:40,2.03
S140,High,20,2.35,100.02,09:40:01,5.81
S141,High,20,1.67,101.69,09:41:41,10.92
S142,High,20,1.17,102.86,09:42:51,2.34
S143,High,20,0.27,103.13,09:43:07,10.66
S144,High,20,0.74,103.87,09:43:52,8.27
S145,High,20,2.19,106.06,09:46:03,3.73
S146,High,20,2.46,108.51,09:48:30,8.48
S147,High,20,3.2,111.72,09:51:43,0.4
S148,High,20,0.76,112.48,09:52:28,0.9
S149,High,20,10.14,122.63,10:02:37,10.71
S150,High,20,0.46,123.09,10:03:05,7.23
S151,High,20,3.09,126.18,10:06:10,3.64
S152,High,20,8.64,134.82,10:14:48,3.29
S153,High,20,4.96,139.78,10:19:46,0.08
S154,High,20,0.28,140.06,10:20:03,6.62
S155,High,20,1.92,141.98,10:21:58,0.28
S156,High,20,1.89,143.87,10:23:52,1.33
S157,High,20,4.16,148.03,10:28:01,2.01
S158,High,20,0.11,148.14,10:28:08,2.08
S159,High,20,3.35,151.49,10:31:29,2.17
S160,High,20,0.78,152.27,10:32:16,3.66
S161,High,20,2.57,154.84,10:34:50,2.53
S162,High,20,0.64,155.48,10:35:28,3.64
S163,High,20,0.9,156.38,10:36:22,7.95
S164,High,20,9.44,165.82,10:45:49,12.37
S165,High,20,1.25,167.06,10:47:03,0.95
S166,High,20,0.87,167.93,10:47:55,0.44
S167,High,20,1.09,169.02,10:49:01,0.86
S168,High,20,1.74,170.76,10:50:45,1.49
S169,High,20,0.6,171.37,10:51:21,2.47
S170,High,20,2.37,173.74,10:53:44,5.9
S171,High,20,1.54,175.27,10:55:16,0.07
S172,High,20,0.09,175.37,10:55:21,6.36
S173,High,20,0.48,175.84,10:55:50,0.44
S174,High,20,0.52,176.36,10:56:21,9.94
S175,High,20,4.09,180.45,11:00:27,2.03
S176,High,20,1.99,182.44,11:02:26,1.0
S177,High,20,8.39,190.84,11:10:50,0.5
S178,High,20,0.93,191.77,11:11:46,2.73
S179,High,20,3.81,195.58,11:15:34,5.38
S180,High,20,1.06,196.64,11:16:38,3.34
S181,High,20,4.23,200.87,11:20:51,2.68
S182,High,20,3.76,204.62,11:24:37,2.1
S183,High,20,0.77,205.4,11:25:23,0.68
S184,High,20,3.86,209.26,11:29:15,1.26
S185,High,20,0.83,210.09,11:30:05,6.11
S186,High,20,0.38,210.47,11:30:28,1.18
S187,High,20,5.53,216.0,11:36:00,4.55
S188,High,20,3.94,219.94,11:39:56,2.51
S189,High,20,1.37,221.3,11:41:18,1.78
S190,High,20,0.62,221.92,11:41:55,3.13
S191,High,20,4.23,226.15,11:46:09,13.5
S192,High,20,0.46,226.62,11:46:37,1.4
S193,High,20,0.36,226.98,11:46:58,3.97
S194,High,20,0.48,227.46,11:47:27,10.4
S195,High,20,0.76,228.22,11:48:13,3.35
S196,High,20,6.26,234.48,11:54:28,8.26
S197,High,20,0.3,234.78,11:54:46,0.34
S198,High,20,2.38,237.16,11:57:09,0.75
S199,High,20,0.12,237.28,11:57:16,0.97
S200,High,20,1.54,238.82,11:58:49,18.59
S201,Peak,25,0.0,0.0,08:00:00,3.97
S202,Peak,25,1.66,1.66,08:01:39,8.93
S203,Peak,25,0.09,1.74,08:01:44,0.32
S204,Peak,25,0.09,1.83,08:01:49,9.39
S205,Peak,25,2.36,4.2,08:04:11,1.77
S206,Peak,25,16.01,20.21,08:20:12,4.92
S207,Peak,25,0.12,20.32,08:20:19,2.54
S208,Peak,25,1.04,21.37,08:21:21,2.27
S209,Peak,25,5.05,26.41,08:26:24,1.89
S210,Peak,25,7.44,33.85,08:33:51,0.23
S211,Peak,25,9.21,43.06,08:43:03,14.35
S212,Peak,25,1.08,44.14,08:44:08,1.39
S213,Peak,25,1.12,45.26,08:45:15,1.83
S214,Peak,25,4.15,49.41,08:49:24,6.66
S215,Peak,25,2.72,52.12,08:52:07,2.66
S216,Peak,25,0.88,53.01,08:53:00,3.53
S217,Peak,25,4.35,57.35,08:57:21,5.49
S218,Peak,25,0.43,57.78,08:57:46,1.04
S219,Peak,25,0.57,58.35,08:58:21,4.7
S220,Peak,25,2.12,60.48,09:00:28,1.28
S221,Peak,25,4.31,64.79,09:04:47,0.33
S222,Peak,25,0.94,65.73,09:05:43,10.38
S223,Peak,25,6.04,71.77,09:11:46,2.02
S224,Peak,25,1.84,73.61,09:13:36,1.37
S225,Peak,25,1.15,74.76,09:14:45,3.79
S226,Peak,25,5.37,80.13,09:20:07,0.57
S227,Peak,25,0.59,80.72,09:20:43,8.89
S228,Peak,25,15.45,96.16,09:36:09,0.22
S229,Peak,25,4.66,100.83,09:40:49,7.44
S230,Peak,25,0.32,101.14,09:41:08,4.7
S231,Peak,25,2.23,103.37,09:43:22,4.84
S232,Peak,25,0.6,103.97,09:43:58,16.79
S233,Peak,25,4.79,108.77,09:48:45,0.29
S234,Peak,25,4.14,112.91,09:52:54,6.82
S235,Peak,25,0.96,113.87,09:53:52,6.3
S236,Peak,25,0.7,114.57,09:54:34,9.18
S237,Peak,25,1.3,115.87,09:55:52,0.07
S238,Peak,25,0.65,116.52,09:56:31,2.84
S239,Peak,25,0.3,116.82,09:56:49,1.79
S240,Peak,25,0.13,116.95,09:56:56,13.55
S241,Peak,25,2.31,119.26,09:59:15,7.45
S242,Peak,25,0.15,119.4,09:59:24,0.33
S243,Peak,25,1.24,120.64,10:00:38,1.29
S244,Peak,25,2.18,122.82,10:02:49,1.1
S245,Peak,25,0.57,123.39,10:03:23,5.74
S246,Peak,25,3.65,127.04,10:07:02,2.52
S247,Peak,25,1.21,128.25,10:08:15,2.56
S248,Peak,25,0.54,128.79,10:08:47,9.0
S249,Peak,25,1.01,129.8,10:09:47,4.84
S250,Peak,25,4.1,133.9,10:13:53,5.09
S251,Peak,25,1.05,134.95,10:14:57,1.4
S252,Peak,25,5.14,140.1,10:20:05,4.56
S253,Peak,25,2.56,142.66,10:22:39,7.82
S254,Peak,25,4.35,147.0,10:27:00,3.79
S255,Peak,25,2.26,149.26,10:29:15,1.0
S256,Peak,25,1.33,150.6,10:30:35,0.77
S257,Peak,25,0.67,151.27,10:31:16,2.44
S258,Peak,25,0.35,151.62,10:31:37,0.03
S259,Peak,25,0.83,152.45,10:32:27,1.12
S260,Peak,25,4.5,156.95,10:36:57,9.02
S261,Peak,25,3.63,160.58,10:40:34,1.29
S262,Peak,25,2.96,163.54,10:43:32,1.31
S263,Peak,25,2.1,165.64,10:45:38,3.23
S264,Peak,25,1.76,167.4,10:47:23,1.51
S265,Peak,25,4.64,172.04,10:52:02,6.88
S266,Peak,25,3.04,175.08,10:55:04,5.52
S267,Peak,25,1.82,176.9,10:56:53,2.35
S268,Peak,25,0.8,177.7,10:57:41,2.32
S269,Peak,25,4.41,182.1,11:02:06,1.17
S270,Peak,25,4.9,187.0,11:07:00,1.26
S271,Peak,25,0.9,187.9,11:07:54,4.38
S272,Peak,25,0.81,188.71,11:08:42,0.71
S273,Peak,25,1.34,190.05,11:10:03,1.28
S274,Peak,25,2.82,192.88,11:12:52,7.41
S275,Peak,25,0.41,193.28,11:13:16,1.81
S276,Peak,25,0.61,193.89,11:13:53,4.74
S277,Peak,25,2.14,196.03,11:16:02,12.87
S278,Peak,25,3.13,199.17,11:19:09,4.01
S279,Peak,25,0.19,199.36,11:19:21,8.65
S280,Peak,25,0.06,199.42,11:19:25,5.94
S281,Peak,25,0.34,199.76,11:19:45,2.7
S282,Peak,25,0.78,200.54,11:20:32,1.22
S283,Peak,25,7.8,208.34,11:28:20,3.24
S284,Peak,25,0.42,208.75,11:28:45,5.74
S285,Peak,25,2.6,211.36,11:31:21,0.17
S286,Peak,25,2.43,213.79,11:33:47,0.02
S287,Peak,25,0.32,214.11,11:34:06,5.11
S288,Peak,25,3.6,217.7,11:37:42,7.83
S289,Peak,25,2.44,220.14,11:40:08,3.48
S290,Peak,25,0.34,220.48,11:40:28,4.66
S291,Peak,25,1.58,222.06,11:42:03,6.73
S292,Peak,25,0.05,222.11,11:42:06,1.8
S293,Peak,25,1.55,223.67,11:43:40,1.46
S294,Peak,25,0.69,224.36,11:44:21,0.73
S295,Peak,25,0.12,224.48,11:44:28,0.77
S296,Peak,25,1.46,225.94,11:45:56,0.51
S297,Peak,25,1.92,227.86,11:47:51,4.15
S298,Peak,25,1.0,228.86,11:48:51,3.38
S299,Peak,25,2.04,230.9,11:50:53,3.19
S300,Peak,25,1.16,232.06,11:52:03,11.21
